_The Cloud	2	0	0
xfinitywifi	2	0	0
attwifi	2	0	0
@TRUEWIFI	2	0	0
.@  TRUEWIFI	2	0	0
WIFLY	2	0	0
WIFLY 7-11	2	0	0
WIFLY Starbucks	2	0	0
WIFLY-Indoor	2	0	0
WIFLY BURGERKING	2	0	0
WIFLY MOS	2	0	0
WIFLY Ikari	2	0	0
WIFLY IS COFFEE	2	0	0
WIFLY MOSFree	2	0	0
WIFLY Royalhost	2	0	0
WIFLY-FLORA EXPO	2	0	0
FET Wi-Fi	2	0	0
ibahn	1	1	0
iBAHN_Holiday_Inn	1	1	0
ibahn_conference	1	1	0
ibahn_fb_guest	1	1	0
ibahn_fb_public	1	1	0
ibahn_lobby	1	1	0
iBAHN@Garden_Inn	1	1	0
ibahn_at_Rocco_Forte	1	1	0
ibahn_conf	1	1	0
ibahn_conferencing	1	1	0
iBAHN@Hilton	1	1	0
AIRPORT-WiFi-FREE	2	0	0
PCCW	2	0	0
iLove4G_G1	2	0	0
CTM WiFi	2	0	0
BTOpenzone	1	1	0
T wifi zone	2	0	0
ollehWiFi 	2	0	0
CHT Wi-Fi(HiNet)	2	0	0
4103 Speedway	1	1	0
4105 Speedway	1	1	0
ALACHUA QUALITY INN	1	1	0
AWG-WiFi	1	1	0
Air-CruisePort Ramada	1	1	0
Airport Inn	1	1	0
Airport View	1	1	0
Alpine Inn	1	1	0
Alta Verde	1	1	0
AmericInn	1	1	0
American Warrior Networks	1	1	0
Americinn	1	1	0
Annies West	1	1	0
Archstone Vanoni Ranch	1	1	0
Astor_Hotel	1	1	0
Avalon Glen Cove North-SON	1	1	0
AyresHotelSpa	1	1	0
AztecRV	1	1	0
BCBC	1	1	0
Baymont	1	1	0
Bayside	1	1	0
Beach Club One	1	1	0
Beach Quarters	1	1	0
BeaverVillageLodge	1	1	0
Best Western	1	1	0
Best Western Morton Grove	1	1	0
BethelTowers	1	1	0
Bluesky RV	1	1	0
Boardwal Resort	1	1	0
Bobs Big Boy	1	1	0
Bobtail Soda	1	1	0
Bonita__Resort	1	1	0
BouldinCreekCoffee	1	1	0
BrownsburgConnected	1	1	0
Brunswick Zone	1	1	0
CMRC	1	1	0
Campbell Cove RV	1	1	0
CandleHotspot	1	1	0
Carls JR	1	1	0
ClarionMV	1	1	0
CoachmanInn	1	1	0
Coffee Chicago	1	1	0
Comfort	1	1	0
Comfort Inn	1	1	0
Comfort Inn & Suites	1	1	0
Comfort Inn and Suites	1	1	0
Comfort Suites	1	1	0
Comfort Suites Guest	1	1	0
ComfortInn	1	1	0
ComfortInnDowney	1	1	0
ComfortSuitesHuntingtonBeach	1	1	0
ComfortSuitesSanClemente	1	1	0
Comfort_Inn	1	1	0
Comfort_Suites	1	1	0
Contra Costa Centre	1	1	0
Coral Motel	1	1	0
Costa Mesa Motor Inn	1	1	0
Country Host	1	1	0
CountryInn	1	1	0
CountryInnCharleston	1	1	0
Country_Inn_and _Suites	1	1	0
CourtyardGermantown	1	1	0
CourtyardMemphis	1	1	0
Courtyard_SantaRosa	1	1	0
Crickets	1	1	0
Cuatros	1	1	0
DENNYS	1	1	0
Danvers-SON	1	1	0
Days Inn	1	1	0
Denny's	1	1	0
Driskill_Hotel	1	1	0
ESPN Zone	1	1	0
East Hampton House	1	1	0
East Waco Library	1	1	0
Econo Lodge	1	1	0
EconoLodge	1	1	0
EconolodgeABQ	1	1	0
El Dorado Inn	1	1	0
EthoStream	1	1	0
Ethostream	1	1	0
Ethostream-Holiday Inn	1	1	0
Executive Center	1	1	0
Expo Center	1	1	0
Fairfield	1	1	0
Fairfield ethostream	1	1	0
FairfieldGermantown	1	1	0
Firkin_and_Fox	1	1	0
Flourish Bakery	1	1	0
Free Chocolate	1	1	0
FreeMarriott	1	1	0
Fultons On The River	1	1	0
GTKIPASS	1	1	0
Glen Capri	1	1	0
GoldenTree	1	1	0
Gratzianos	1	1	0
Greater Austin Orthopaedics	1	1	0
Grillers	1	1	0
Grounds For Appeal	1	1	0
HEB	1	1	0
HI Express Sandy-South Salt Lake	1	1	0
HIE	1	1	0
HIE-Boise	1	1	0
HIE-Dillsboro	1	1	0
HIEX	1	1	0
HIExpress	1	1	0
HIFWB-#	1	1	0
HI_Express_McKnlyvlle	1	1	0
Hampton Inn	1	1	0
HayAdams	1	1	0
HiSpeed4U.com	1	1	0
High Speed Internet	1	1	0
High Speed Internet 5017	1	1	0
High Speed Internet 5047	1	1	0
Holiday	1	1	0
Holiday Inn	1	1	0
Holiday Inn Express	1	1	0
Holiday Inn Express - Deer Park	1	1	0
Holiday Inn Express Manchester	1	1	0
HolidayInn	1	1	0
HolidayInnExpress	1	1	0
Holiday_Inn	1	1	0
Homestead	1	1	0
Hop Haus	1	1	0
Hotel Indigo Baton Rouge	1	1	0
Hotel WIFI	1	1	0
Howard Johnson Airport	1	1	0
Hunt Club	1	1	0
Hyatt Place	1	1	0
IN TUNE	1	1	0
IND_PUBLIC_WiFi	1	1	0
Iguana Cafe	1	1	0
In Tune	1	1	0
Inforezone	1	1	0
Inn at Lincoln Park	1	1	0
Innflux	1	1	0
Instant Internet	1	1	0
Internet 5046	1	1	0
Istria Cafe	1	1	0
JP Allen Co	1	1	0
JWA_IPASS	1	1	0
JWIPASS	1	1	0
Jet Wireless	1	1	0
Jorgenson	1	1	0
Jorges	1	1	0
Jovino1	1	1	0
KCnet WI-FI Service	1	1	0
KOA Needles	1	1	0
La Quinta	1	1	0
LaQuintaValdosta	1	1	0
Las Quintas [#]	1	1	0
Laundry Experience	1	1	0
Lavaca Street Bar	1	1	0
Le Sage Riviera Public Hotspot	1	1	0
Leonard Ranch	1	1	0
LimeLight	1	1	0
Lock Haven Wireless	1	1	0
Lock Haven Wireless 1	1	1	0
Lodgenet	1	1	0
MARRIOTTLOUISVILLE	1	1	0
MCCSWiFi	1	1	0
MCCSWiFi1	1	1	0
